                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2919,                 1.5589,                 1.1044,                 1.1995,                 0.7089,                0.61702,                0.67788,                0.43092,                0.69045,                 0.5972,                0.63687,                0.33884,                 1.1927,                  1.339,                 1.0599,                  1.171,             0.00066599,             0.00066599,             0.00066599
                      2,                 1.3011,                 1.5568,                 1.1277,                 1.2094,                0.69291,                0.62368,                0.67437,                 0.4223,                0.66961,                0.60271,                 0.6309,                0.32986,                 1.2066,                 1.3582,                 1.0929,                 1.1732,              0.0012447,              0.0012447,              0.0012447
                      3,                 1.3211,                 1.5751,                 1.1472,                 1.2163,                0.70921,                0.61748,                0.67793,                0.42798,                0.69278,                0.59532,                0.64078,                0.34073,                  1.203,                 1.3409,                 1.0764,                 1.1841,              0.0017354,              0.0017354,              0.0017354
                      4,                 1.3189,                 1.5737,                 1.1508,                 1.2155,                0.70671,                0.61993,                0.67946,                0.42762,                0.68868,                0.60133,                0.64227,                0.33995,                 1.2048,                  1.342,                 1.0748,                 1.1836,               0.001604,               0.001604,               0.001604
                      5,                 1.3242,                 1.5677,                 1.1488,                  1.219,                0.70575,                0.61193,                0.67194,                0.42531,                 0.6862,                0.59498,                0.63637,                0.33451,                 1.1991,                  1.335,                 1.0919,                 1.1839,               0.001604,               0.001604,               0.001604
                      6,                 1.2817,                 1.4859,                 1.1232,                 1.2105,                0.70931,                0.61277,                0.67763,                0.42523,                0.69108,                0.59253,                0.63783,                0.33519,                 1.2012,                 1.3386,                 1.0683,                 1.1751,               0.001472,               0.001472,               0.001472
                      7,                  1.273,                 1.4906,                 1.1134,                 1.2104,                0.72142,                0.61907,                0.68664,                0.43692,                0.70243,                0.59946,                0.64737,                0.34331,                 1.1922,                 1.3278,                 1.0474,                 1.1665,                0.00134,                0.00134,                0.00134
                      8,                 1.2624,                 1.4692,                 1.0964,                 1.2017,                 0.7171,                0.61978,                0.68947,                0.43466,                0.69672,                0.60103,                0.65331,                0.34049,                 1.1985,                 1.3446,                 1.0498,                 1.1775,               0.001208,               0.001208,               0.001208
                      9,                 1.2543,                 1.4574,                 1.0825,                 1.1986,                0.70074,                0.62249,                0.67926,                 0.4346,                0.67938,                0.60064,                0.63638,                0.33217,                 1.1872,                  1.331,                 1.0707,                 1.1747,               0.001076,               0.001076,               0.001076
                     10,                 1.2482,                 1.4466,                 1.0772,                  1.192,                0.71635,                0.62664,                0.69495,                0.44457,                0.69291,                0.60613,                0.65226,                0.34267,                 1.1736,                 1.3103,                 1.0328,                  1.161,               0.000944,               0.000944,               0.000944
                     11,                 1.2365,                 1.4458,                 1.0592,                 1.1856,                0.72046,                0.62789,                0.69551,                0.44587,                0.70471,                0.60595,                0.65853,                0.35351,                 1.1701,                 1.3029,                 1.0131,                 1.1615,               0.000812,               0.000812,               0.000812
                     12,                 1.2234,                 1.4245,                 1.0365,                 1.1782,                0.72301,                0.63557,                0.70296,                 0.4515,                0.70299,                0.61254,                0.66356,                0.35234,                 1.1623,                 1.3034,                 1.0068,                 1.1526,                0.00068,                0.00068,                0.00068
                     13,                 1.2134,                 1.4156,                 1.0318,                 1.1729,                0.72532,                0.64065,                0.70786,                0.45709,                0.70926,                0.61909,                0.67165,                 0.3643,                 1.1579,                 1.2954,                0.98922,                 1.1509,               0.000548,               0.000548,               0.000548
                     14,                 1.2061,                 1.4176,                 1.0168,                  1.167,                 0.7278,                0.63152,                0.70361,                0.45675,                0.71095,                0.61105,                 0.6668,                0.36108,                 1.1476,                 1.2908,                 0.9898,                 1.1443,               0.000416,               0.000416,               0.000416
                     15,                 1.1978,                  1.403,                 1.0024,                 1.1638,                0.72986,                0.63654,                0.70748,                0.45866,                0.71236,                0.62008,                0.67524,                0.37251,                 1.1515,                 1.2918,                0.97958,                 1.1476,               0.000284,               0.000284,               0.000284
