                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2649,                 1.5176,                 1.0616,                 1.1828,                0.72242,                0.62291,                0.69317,                0.44366,                0.69904,                0.60405,                0.65298,                0.34947,                 1.1795,                 1.3092,                 1.0182,                 1.1664,                0.00333,                0.00333,                0.00333
                      2,                 1.2485,                 1.4896,                 1.0572,                 1.1789,                0.71761,                 0.6247,                0.69435,                0.43914,                0.69515,                0.60514,                0.65537,                0.34718,                 1.1927,                 1.3198,                 1.0291,                 1.1662,              0.0066303,              0.0066303,              0.0066303
                      3,                 1.2744,                 1.5036,                 1.0762,                 1.1874,                0.70053,                0.59383,                0.65559,                0.41158,                0.67892,                0.57829,                0.61898,                0.32774,                 1.2289,                 1.3541,                  1.112,                 1.1928,              0.0098977,              0.0098977,              0.0098977
                      4,                 1.2836,                 1.5165,                 1.0978,                   1.19,                 0.7138,                0.62379,                0.68415,                0.43177,                0.69493,                 0.6073,                0.64879,                0.34745,                 1.2084,                 1.3267,                 1.0412,                 1.1798,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2895,                 1.5103,                 1.0876,                 1.1936,                0.71777,                0.61553,                0.68194,                0.43064,                0.69871,                0.59919,                0.64505,                0.34087,                 1.2038,                 1.3336,                 1.0539,                 1.1745,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.3041,                 1.5615,                 1.1189,                 1.1983,                0.71316,                0.62816,                0.69083,                0.43594,                0.69207,                0.60612,                0.65012,                0.34301,                 1.1943,                 1.3329,                 1.0448,                  1.168,               0.009802,               0.009802,               0.009802
                      7,                 1.2972,                 1.5278,                 1.1142,                    1.2,                0.70797,                 0.6192,                0.67948,                0.43138,                0.68561,                0.59965,                0.63853,                0.33662,                 1.1954,                 1.3301,                 1.0597,                   1.17,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.3008,                 1.5379,                 1.1099,                 1.1999,                0.70307,                0.62655,                0.67806,                0.42601,                0.68369,                 0.6037,                0.63754,                0.33324,                 1.2061,                 1.3396,                 1.0641,                 1.1798,               0.009703,               0.009703,               0.009703
                      9,                 1.3005,                 1.5469,                 1.1177,                 1.1987,                0.72408,                0.61671,                0.69047,                0.43693,                 0.7059,                0.59682,                0.65297,                0.34494,                 1.1793,                 1.3205,                 1.0465,                 1.1642,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.2942,                 1.5382,                   1.11,                 1.1959,                0.71017,                0.62712,                0.68778,                0.43268,                0.68756,                0.60715,                0.64739,                0.33744,                 1.1898,                 1.3294,                 1.0516,                 1.1609,               0.009604,               0.009604,               0.009604
                     11,                 1.2887,                 1.5381,                 1.0953,                 1.1905,                0.72059,                 0.6184,                0.68426,                0.43594,                0.69949,                0.59678,                0.64376,                0.33453,                 1.1817,                 1.3242,                  1.034,                 1.1583,              0.0095545,              0.0095545,              0.0095545
                     12,                  1.293,                  1.534,                  1.101,                  1.195,                0.71127,                0.61132,                 0.6772,                0.42565,                0.69413,                0.59192,                0.64434,                0.34083,                 1.2069,                 1.3373,                 1.0831,                 1.1768,               0.009505,               0.009505,               0.009505
                     13,                 1.2771,                 1.5264,                 1.0946,                 1.1898,                0.71247,                0.63436,                0.69226,                0.44027,                0.69119,                0.61541,                0.65201,                0.34504,                 1.1807,                 1.3175,                 1.0371,                 1.1566,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.2798,                 1.5277,                 1.0937,                 1.1901,                0.72034,                 0.6329,                0.69662,                0.44358,                0.69917,                  0.613,                0.65843,                0.34999,                 1.1815,                 1.3177,                 1.0263,                 1.1558,               0.009406,               0.009406,               0.009406
                     15,                 1.2901,                 1.5309,                 1.1005,                 1.1872,                 0.7264,                0.61772,                0.69163,                0.44101,                0.70305,                0.59786,                0.64883,                0.34094,                 1.1695,                 1.3195,                 1.0318,                 1.1507,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.2756,                 1.5181,                 1.0904,                 1.1828,                0.72009,                0.61893,                0.68414,                0.43346,                0.70052,                0.60003,                0.64852,                 0.3451,                  1.189,                 1.3282,                 1.0453,                  1.167,               0.009307,               0.009307,               0.009307
                     17,                 1.2792,                 1.5133,                 1.0888,                 1.1862,                0.72074,                0.63049,                0.69702,                0.44227,                0.70924,                0.60748,                0.66062,                0.34817,                 1.1743,                 1.3182,                 1.0148,                  1.151,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.2794,                 1.5258,                 1.0864,                 1.1839,                0.71588,                0.63368,                0.69634,                0.44258,                0.69478,                0.61247,                0.65783,                0.34761,                  1.178,                 1.3159,                 1.0259,                 1.1536,               0.009208,               0.009208,               0.009208
                     19,                 1.2769,                 1.5301,                 1.0809,                 1.1826,                0.72547,                0.63298,                 0.6971,                0.44574,                  0.705,                0.61381,                0.65891,                0.34816,                 1.1692,                 1.3085,                 1.0222,                 1.1518,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.2741,                 1.5182,                 1.0867,                  1.186,                0.72028,                0.63419,                0.70285,                0.45199,                0.70195,                0.61675,                0.66757,                 0.3591,                 1.1633,                  1.306,                  1.019,                 1.1421,               0.009109,               0.009109,               0.009109
